/data/fengfei/RLUQ/envs/unsloth/lib/python3.11/site-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
`torch_dtype` is deprecated! Use `dtype` instead!
Skipping import of cpp extensions due to incompatible torch version 2.9.0+cu128 for torchao version 0.16.0             Please see https://github.com/pytorch/ao/issues/2919 for more info
using device: cuda
total_batch_size=262144, grad_accum_steps=16
loaded submission checkpoint, step 40949
student params: 99,032,320
teacher: EleutherAI/gpt-neo-2.7B, params=2,651,307,520
projections: 5× Linear(640→2560)  params=8,192,000
layer pairs: student[3, 7, 11, 15, 'ln_f'] ↔ teacher[7, 15, 23, 31, 'ln_f']
  fineweb: weight=0.59  path=/data/fengfei/cse251b-nanogpt/build-nanogpt/tokenized_sources/fineweb_full
  wikipedia: weight=0.17  path=/data/fengfei/cse251b-nanogpt-zzv-train/data/wikipedia
  science: weight=0.12  path=/data/fengfei/cse251b-nanogpt-zzv-train/data/science
  books: weight=0.12  path=/data/fengfei/cse251b-nanogpt-zzv-train/data/books
Muon  → 112 tensors, 66,846,720 params
AdamW → 34 tensors (model) + proj_layers
LR schedule: muon 5.0e-05→5.0e-06  adam 2.0e-06→2.0e-07  proj 2.0e-04→2.0e-05  warmup=100  decay_steps=30000
cosine align: sample_n=1024  lambda_max=0.1  warmup=200
step 40969 | ce 2.928669 | cos 1.002327 | layers [0.9987 1.0100 1.0141 0.9903 0.9985] | λ 0.0095 | muon 1.00e-05 adam 4.00e-07 proj 4.00e-05 | norm 0.4706 | dt 7817ms | 35631 tok/s
step 40970 | ce 2.924335 | cos 1.001518 | layers [1.0002 1.0106 1.0131 0.9880 0.9957] | λ 0.0100 | muon 1.05e-05 adam 4.20e-07 proj 4.20e-05 | norm 0.4622 | dt 7806ms | 35680 tok/s
step 40971 | ce 3.032666 | cos 1.000789 | layers [0.9977 1.0102 1.0173 0.9869 0.9919] | λ 0.0105 | muon 1.10e-05 adam 4.40e-07 proj 4.40e-05 | norm 0.4782 | dt 7814ms | 35647 tok/s
step 40972 | ce 3.034723 | cos 0.998943 | layers [0.9967 1.0101 1.0143 0.9838 0.9897] | λ 0.0110 | muon 1.15e-05 adam 4.60e-07 proj 4.60e-05 | norm 0.4627 | dt 7834ms | 35553 tok/s
step 40973 | ce 3.049290 | cos 0.998504 | layers [0.9968 1.0110 1.0149 0.9831 0.9868] | λ 0.0115 | muon 1.20e-05 adam 4.80e-07 proj 4.80e-05 | norm 0.4556 | dt 7819ms | 35620 tok/s
step 40974 | ce 2.932344 | cos 0.997830 | layers [0.9975 1.0080 1.0153 0.9808 0.9876] | λ 0.0120 | muon 1.25e-05 adam 5.00e-07 proj 5.00e-05 | norm 0.4796 | dt 7734ms | 36012 tok/s
step 40975 | ce 2.996491 | cos 0.995112 | layers [0.9957 1.0087 1.0152 0.9740 0.9820] | λ 0.0125 | muon 1.30e-05 adam 5.20e-07 proj 5.20e-05 | norm 0.4464 | dt 7814ms | 35646 tok/s
step 40976 | ce 2.960182 | cos 0.996641 | layers [0.9962 1.0108 1.0129 0.9786 0.9847] | λ 0.0130 | muon 1.35e-05 adam 5.40e-07 proj 5.40e-05 | norm 0.4428 | dt 7809ms | 35667 tok/s
step 40977 | ce 2.971991 | cos 0.995233 | layers [0.9964 1.0088 1.0127 0.9758 0.9824] | λ 0.0135 | muon 1.40e-05 adam 5.60e-07 proj 5.60e-05 | norm 0.4261 | dt 7835ms | 35547 tok/s
step 40978 | ce 3.035936 | cos 0.994084 | layers [0.9953 1.0065 1.0121 0.9775 0.9791] | λ 0.0140 | muon 1.45e-05 adam 5.80e-07 proj 5.80e-05 | norm 0.4471 | dt 7831ms | 35566 tok/s
